03-09 20:21:40.364 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1255, 1489062100376
03-09 20:21:40.384 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100101, 1489062100338, 1489062100398
03-09 20:21:40.394 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1295, 1489062100411
03-09 20:21:40.404 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1295, 1489062100412
03-09 20:21:40.424 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1318, 1489062100434
03-09 20:21:40.424 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1318, 1489062100434
03-09 20:21:40.424 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100123, 1489062100377, 1489062100437
03-09 20:21:40.454 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100154, 1489062100412, 1489062100466
03-09 20:21:40.474 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1355, 1489062100486
03-09 20:21:40.474 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1355, 1489062100486
03-09 20:21:40.494 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100190, 1489062100442, 1489062100507
03-09 20:21:40.504 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1395, 1489062100512
03-09 20:21:40.504 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1395, 1489062100513
03-09 20:21:40.524 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1418, 1489062100540
03-09 20:21:40.524 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1418, 1489062100540
03-09 20:21:40.534 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100228, 1489062100487, 1489062100544
03-09 20:21:40.554 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100244, 1489062100513, 1489062100564
03-09 20:21:40.564 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1455, 1489062100575
03-09 20:21:40.564 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1455, 1489062100576
03-09 20:21:40.574 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100288, 1489062100540, 1489062100587
03-09 20:21:40.604 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1495, 1489062100613
03-09 20:21:40.604 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1495, 1489062100614
03-09 20:21:40.614 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100316, 1489062100576, 1489062100630
03-09 20:21:40.624 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1518, 1489062100636
03-09 20:21:40.624 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1518, 1489062100636
03-09 20:21:40.644 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100335, 1489062100614, 1489062100658
03-09 20:21:40.664 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1555, 1489062100679
03-09 20:21:40.664 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1555, 1489062100680
03-09 20:21:40.694 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100376, 1489062100636, 1489062100704
03-09 20:21:40.694 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1595, 1489062100710
03-09 20:21:40.694 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1595, 1489062100710
03-09 20:21:40.724 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100412, 1489062100680, 1489062100732
03-09 20:21:40.734 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1618, 1489062100744
03-09 20:21:40.734 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1618, 1489062100744
03-09 20:21:40.744 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100434, 1489062100710, 1489062100761
03-09 20:21:40.824 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1718, 1489062100835
03-09 20:21:40.824 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1718, 1489062100835
03-09 20:21:40.834 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100486, 1489062100745, 1489062100844
03-09 20:21:40.894 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100513, 1489062100835, 1489062100910
03-09 20:21:40.944 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1818, 1489062100953
03-09 20:21:40.944 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1818, 1489062100953
03-09 20:21:40.964 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100540, 1489062100954, 1489062100977
03-09 20:21:41.014 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1907, 1489062101025
03-09 20:21:41.014 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1907, 1489062101025
03-09 20:21:41.034 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100576, 1489062101026, 1489062101044
03-09 20:21:41.094 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1915, 1489062101103
03-09 20:21:41.094 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1915, 1489062101103
03-09 20:21:41.114 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100614, 1489062101104, 1489062101126
03-09 20:21:41.134 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1939, 1489062101145
03-09 20:21:41.134 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1939, 1489062101145
03-09 20:21:41.154 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1990, 1489062101170
03-09 20:21:41.154 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1990, 1489062101170
03-09 20:21:41.164 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100636, 1489062101146, 1489062101178
03-09 20:21:41.214 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2090, 1489062101228
03-09 20:21:41.214 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2090, 1489062101228
03-09 20:21:41.224 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100680, 1489062101171, 1489062101240
03-09 20:21:41.294 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2190, 1489062101310
03-09 20:21:41.294 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2190, 1489062101310
03-09 20:21:41.294 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100710, 1489062101228, 1489062101310
03-09 20:21:41.364 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100744, 1489062101311, 1489062101377
03-09 20:21:41.394 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2290, 1489062101407
03-09 20:21:41.394 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2290, 1489062101407
03-09 20:21:41.424 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2320, 1489062101435
03-09 20:21:41.424 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2320, 1489062101436
03-09 20:21:41.434 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100835, 1489062101408, 1489062101444
03-09 20:21:41.494 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062100953, 1489062101436, 1489062101510
03-09 20:21:41.524 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2420, 1489062101537
03-09 20:21:41.524 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2420, 1489062101538
03-09 20:21:41.564 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101025, 1489062101542, 1489062101577
03-09 20:21:41.624 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2520, 1489062101637
03-09 20:21:41.624 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2520, 1489062101637
03-09 20:21:41.644 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101103, 1489062101638, 1489062101657
03-09 20:21:41.724 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2620, 1489062101737
03-09 20:21:41.724 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2620, 1489062101737
03-09 20:21:41.734 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101145, 1489062101737, 1489062101749
03-09 20:21:41.824 16111-16228/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2720, 1489062101841
03-09 20:21:41.824 16111-16279/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2720, 1489062101842
03-09 20:21:41.844 16111-16227/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062101170, 1489062101842, 1489062101858
