03-09 20:16:56.204 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1814, 1489061816216
03-09 20:16:56.214 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816019, 1489061816172, 1489061816228
03-09 20:16:56.234 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1854, 1489061816250
03-09 20:16:56.234 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1854, 1489061816251
03-09 20:16:56.254 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816061, 1489061816216, 1489061816263
03-09 20:16:56.264 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1877, 1489061816276
03-09 20:16:56.264 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1877, 1489061816276
03-09 20:16:56.274 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816078, 1489061816251, 1489061816289
03-09 20:16:56.304 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1914, 1489061816315
03-09 20:16:56.304 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1914, 1489061816316
03-09 20:16:56.314 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816115, 1489061816277, 1489061816326
03-09 20:16:56.314 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1937, 1489061816331
03-09 20:16:56.314 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1937, 1489061816331
03-09 20:16:56.324 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816146, 1489061816316, 1489061816341
03-09 20:16:56.354 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1974, 1489061816369
03-09 20:16:56.354 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1974, 1489061816372
03-09 20:16:56.374 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816171, 1489061816331, 1489061816386
03-09 20:16:56.454 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816216, 1489061816373, 1489061816468
03-09 20:16:56.464 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2074, 1489061816481
03-09 20:16:56.464 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2074, 1489061816481
03-09 20:16:56.524 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816251, 1489061816481, 1489061816535
03-09 20:16:56.594 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2174, 1489061816605
03-09 20:16:56.594 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2174, 1489061816605
03-09 20:16:56.604 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816276, 1489061816605, 1489061816620
03-09 20:16:56.634 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2262, 1489061816652
03-09 20:16:56.634 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2262, 1489061816652
03-09 20:16:56.654 8946-9454/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061816316, 1489061816653, 1489061816668
03-09 20:16:56.734 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2275, 1489061816748
03-09 20:16:56.734 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2275, 1489061816749
03-09 20:16:56.754 8946-9455/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2294, 1489061816770
03-09 20:16:56.754 8946-9589/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2294, 1489061816771
