03-09 19:41:58.934 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059718937, 1489059718950, 1489059718950
03-09 19:41:59.074 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1058, 1489059719076
03-09 19:41:59.074 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1058, 1489059719077
03-09 19:41:59.074 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1095, 1489059719078
03-09 19:41:59.074 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1095, 1489059719079
03-09 19:41:59.074 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1115, 1489059719081
03-09 19:41:59.074 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1115, 1489059719082
03-09 19:41:59.074 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719077, 1489059719090, 1489059719092
03-09 19:41:59.094 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719079, 1489059719098, 1489059719105
03-09 19:41:59.104 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719082, 1489059719107, 1489059719116
03-09 19:41:59.124 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1155, 1489059719141
03-09 19:41:59.124 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1155, 1489059719142
03-09 19:41:59.134 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1196, 1489059719143
03-09 19:41:59.134 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1196, 1489059719144
03-09 19:41:59.144 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719142, 1489059719155, 1489059719162
03-09 19:41:59.154 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1233, 1489059719165
03-09 19:41:59.154 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1233, 1489059719165
03-09 19:41:59.164 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719144, 1489059719164, 1489059719174
03-09 19:41:59.174 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719165, 1489059719177, 1489059719185
03-09 19:41:59.254 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1273, 1489059719268
03-09 19:41:59.254 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1296, 1489059719268
03-09 19:41:59.254 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1273, 1489059719269
03-09 19:41:59.254 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1296, 1489059719269
03-09 19:41:59.254 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1333, 1489059719272
03-09 19:41:59.264 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1333, 1489059719273
03-09 19:41:59.264 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1373, 1489059719277
03-09 19:41:59.264 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1373, 1489059719278
03-09 19:41:59.274 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719269, 1489059719281, 1489059719287
03-09 19:41:59.284 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059719273, 1489059719295, 1489059719298
03-09 19:41:59.294 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1396, 1489059719304
