03-09 20:24:00.544 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240534, 1489062240550, 1489062240559
03-09 20:24:00.554 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 771, 1489062240570
03-09 20:24:00.554 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 771, 1489062240570
03-09 20:24:00.574 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 789, 1489062240585
03-09 20:24:00.574 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 789, 1489062240585
03-09 20:24:00.574 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240570, 1489062240582, 1489062240591
03-09 20:24:00.584 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240585, 1489062240596, 1489062240601
03-09 20:24:00.614 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 831, 1489062240626
03-09 20:24:00.614 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 831, 1489062240626
03-09 20:24:00.634 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240626, 1489062240637, 1489062240643
03-09 20:24:00.634 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 851, 1489062240646
03-09 20:24:00.634 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 851, 1489062240646
03-09 20:24:00.654 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240646, 1489062240657, 1489062240664
03-09 20:24:00.674 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 891, 1489062240688
03-09 20:24:00.674 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 891, 1489062240688
03-09 20:24:00.694 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240688, 1489062240700, 1489062240707
03-09 20:24:00.714 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 928, 1489062240724
03-09 20:24:00.714 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 928, 1489062240725
03-09 20:24:00.724 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240725, 1489062240736, 1489062240739
03-09 20:24:00.744 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 951, 1489062240753
03-09 20:24:00.744 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 951, 1489062240754
03-09 20:24:00.754 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240754, 1489062240765, 1489062240771
03-09 20:24:00.774 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 989, 1489062240785
03-09 20:24:00.774 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 989, 1489062240786
03-09 20:24:00.794 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240786, 1489062240797, 1489062240803
03-09 20:24:00.814 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1030, 1489062240826
03-09 20:24:00.814 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1030, 1489062240827
03-09 20:24:00.834 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240827, 1489062240838, 1489062240845
03-09 20:24:00.834 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1049, 1489062240848
03-09 20:24:00.834 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1049, 1489062240848
03-09 20:24:00.854 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240848, 1489062240860, 1489062240867
03-09 20:24:00.874 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1090, 1489062240887
03-09 20:24:00.874 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1090, 1489062240888
03-09 20:24:00.894 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062240888, 1489062240900, 1489062240909
03-09 20:24:00.914 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1131, 1489062240931
03-09 20:24:00.914 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1131, 1489062240931
