03-09 20:13:26.084 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 956, 1489061606101
03-09 20:13:26.094 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 997, 1489061606106
03-09 20:13:26.094 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 997, 1489061606107
03-09 20:13:26.104 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1016, 1489061606117
03-09 20:13:26.104 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1016, 1489061606118
03-09 20:13:26.104 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606101, 1489061606113, 1489061606119
03-09 20:13:26.114 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606118, 1489061606130, 1489061606131
03-09 20:13:26.164 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1056, 1489061606175
03-09 20:13:26.164 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1056, 1489061606175
03-09 20:13:26.174 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606175, 1489061606187, 1489061606192
03-09 20:13:26.184 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1097, 1489061606201
03-09 20:13:26.184 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1097, 1489061606202
03-09 20:13:26.224 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606202, 1489061606215, 1489061606225
03-09 20:13:26.244 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1135, 1489061606259
03-09 20:13:26.244 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1158, 1489061606259
03-09 20:13:26.244 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1135, 1489061606260
03-09 20:13:26.244 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1158, 1489061606261
03-09 20:13:26.264 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606260, 1489061606272, 1489061606277
03-09 20:13:26.274 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606261, 1489061606280, 1489061606289
03-09 20:13:26.324 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1213, 1489061606333
03-09 20:13:26.324 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1213, 1489061606334
03-09 20:13:26.334 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606334, 1489061606346, 1489061606352
03-09 20:13:26.344 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1253, 1489061606361
03-09 20:13:26.344 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1253, 1489061606362
03-09 20:13:26.364 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1275, 1489061606382
03-09 20:13:26.374 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1275, 1489061606383
03-09 20:13:26.374 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606362, 1489061606374, 1489061606384
03-09 20:13:26.384 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606383, 1489061606395, 1489061606396
03-09 20:13:26.394 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1313, 1489061606412
03-09 20:13:26.404 6402-6614/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1313, 1489061606414
03-09 20:13:26.414 6402-6559/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489061606414, 1489061606426, 1489061606428
03-09 20:13:26.434 6402-6560/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1353, 1489061606446
